transaction_id,date,customer_id,product_name,category,quantity,unit_price,total_amount
TXN001,2025-01-05,CUST001,Thiệp Chúc Mừng Sinh Nhật,Thiệp,2,25000,50000
TXN001,2025-01-05,CUST001,Hoa Hồng Virtual,Hoa,1,45000,45000
TXN002,2025-01-06,CUST002,Gấu Bông AR,Thú Nhồi Bông,1,120000,120000
TXN002,2025-01-06,CUST002,Thiệp Chúc Mừng Sinh Nhật,Thiệp,1,25000,25000
TXN003,2025-01-07,CUST003,Hoa Hồng Virtual,Hoa,3,45000,135000
TXN003,2025-01-07,CUST003,Socola Virtual Box,Socola,1,65000,65000
TXN004,2025-01-08,CUST001,Pháo Hoa 3D Effect,Hiệu Ứng,1,35000,35000
TXN004,2025-01-08,CUST001,Thiệp Chúc Mừng Sinh Nhật,Thiệp,1,25000,25000
TXN005,2025-01-10,CUST004,Hoa Hồng Virtual,Hoa,2,45000,90000
TXN005,2025-01-10,CUST004,Gấu Bông AR,Thú Nhồi Bông,1,120000,120000
TXN005,2025-01-10,CUST004,Thiệp Valentine,Thiệp,1,30000,30000
TXN006,2025-01-12,CUST005,Socola Virtual Box,Socola,2,65000,130000
TXN006,2025-01-12,CUST005,Hoa Hồng Virtual,Hoa,1,45000,45000
TXN007,2025-01-15,CUST002,Vương Miện AR,Phụ Kiện,1,85000,85000
TXN007,2025-01-15,CUST002,Pháo Hoa 3D Effect,Hiệu Ứng,1,35000,35000
TXN008,2025-01-18,CUST006,Thiệp Chúc Mừng Sinh Nhật,Thiệp,1,25000,25000
TXN008,2025-01-18,CUST006,Hoa Hồng Virtual,Hoa,1,45000,45000
TXN008,2025-01-18,CUST006,Socola Virtual Box,Socola,1,65000,65000
TXN009,2025-01-20,CUST007,Gấu Bông AR,Thú Nhồi Bông,1,120000,120000
TXN009,2025-01-20,CUST007,Thiệp Valentine,Thiệp,1,30000,30000
TXN010,2025-01-22,CUST003,Pháo Hoa 3D Effect,Hiệu Ứng,2,35000,70000
TXN010,2025-01-22,CUST003,Vương Miện AR,Phụ Kiện,1,85000,85000
