voucher_id,voucher_code,campaign_name,discount_type,discount_value,target_group,user_id,user_age,is_student,issued_at,expires_at,is_used,used_at,spending_monthly,days_since_last_login,wallet_balance
1,LUCKY-4BC451F4,Welcome Back,Percent,50,Student,112,16,1,2025-01-01,2025-01-08,0,,383.7,17,48.98
2,LUCKY-8EBC20DD,Weekend Deal,Fixed,10000,Student,358,16,1,2025-01-25,2025-02-01,0,,302.56,89,143.2
3,LUCKY-7D555965,Refer a Friend SV,Percent,10,Student,23,20,1,2025-06-20,2025-07-04,1,2025-07-03,119.97,43,191.44
4,LUCKY-5D2A47FF,Summer Gift,Fixed,20000,All,396,37,0,2025-01-22,2025-01-29,0,,424.69,10,926.18
5,LUCKY-3F354244,Birthday Bonus,Fixed,50000,Student,360,17,1,2025-06-07,2025-07-07,1,2025-06-12,434.89,48,173.3
6,LUCKY-550F94B5,Weekend Deal,Percent,15,All,351,40,0,2025-11-23,2025-12-23,1,2025-11-27,328.52,68,653.23
7,LUCKY-77191DAF,Welcome Back,Fixed,20000,Student,336,16,1,2025-10-23,2025-11-06,1,2025-10-27,153.07,40,6.42
8,LUCKY-797777BB,Refer a Friend SV,Fixed,50000,Student,387,23,1,2025-03-17,2025-03-31,1,2025-03-19,114.29,71,27.93
9,LUCKY-494CF86E,Refer a Friend SV,Fixed,5000,Student,441,17,1,2025-08-17,2025-08-31,1,2025-08-26,118.78,87,32.0
10,LUCKY-8B7D0954,Welcome Back,Fixed,20000,All,449,41,0,2025-03-15,2025-03-22,1,2025-03-27,1497.3,68,697.62
11,LUCKY-9F4A8ECB,Tet Student,Fixed,10000,All,307,36,0,2025-03-18,2025-04-17,1,2025-03-19,1571.53,13,532.3
12,LUCKY-5B15629B,Summer Gift,Percent,10,Student,249,16,1,2025-02-03,2025-03-05,0,,100.34,39,72.6
13,LUCKY-BAF9A966,Back to School,Fixed,10000,All,476,44,0,2025-10-14,2025-10-21,0,,1158.87,84,169.47
14,LUCKY-70E59505,Weekend Deal,Fixed,50000,Student,302,19,1,2025-04-03,2025-04-17,1,2025-04-04,370.83,85,79.8
15,LUCKY-81505E8C,Flash Sale SV,Percent,10,Student,143,19,1,2025-02-17,2025-02-24,0,,53.24,7,141.57
16,LUCKY-C1729F4F,Weekend Deal,Fixed,10000,Student,338,19,1,2025-04-04,2025-04-11,0,,292.66,73,144.67
17,LUCKY-97CE0E19,Refer a Friend SV,Percent,10,Student,98,22,1,2025-02-08,2025-02-15,0,,235.0,6,172.77
18,LUCKY-D49002B7,Welcome Back,Percent,25,Student,475,18,1,2025-09-27,2025-10-04,1,2025-09-29,239.85,31,55.71
19,LUCKY-DB8A6957,Tet Student,Fixed,5000,All,217,27,0,2025-07-09,2025-07-23,1,2025-07-14,499.36,27,511.36
20,LUCKY-CF966713,Flash Sale SV,Fixed,10000,Student,161,24,1,2025-09-02,2025-10-02,0,,347.84,24,97.33
21,LUCKY-E1A0EF1B,Welcome Back,Percent,30,Student,346,23,1,2025-02-20,2025-02-27,0,,276.28,20,170.54
22,LUCKY-CD14F36B,Welcome Back,Percent,30,All,162,32,0,2025-10-19,2025-11-18,0,,415.8,31,895.77
